date,text,source,url,compound,positive,neutral,negative,normalized
2021-03-18,"Morgan Stanley offering its wealthy clients access to bitcoin funds is the ""tip of the iceberg for Wealth Management,"" JMP securities said in a research note. 
On Wednesday, Morgan Stanley announced… [+1542 chars]",Business Insider,https://www.businessinsider.com/bitcoin-morgan-stanley-funds-tip-of-the-iceberg-jmp-cryptocurrencies-2021-3,0.7845,0.214,0.786,0.0,1
2021-03-18,"Getty Images / Bryan R. Smith
A decline in US stocks on Thursday was led by the Nasdaq 100, which fell 3% following a surge in interest rates.
The 10-year US Treasury yield hit 1.75% on Thursday, r… [+1766 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-today-tech-decline-sparked-by-rising-rates-2021-3,0.5859,0.121,0.879,0.0,1
2021-03-18,"Venture capitalist William Quigley has dipped his toes into nearly every area of crypto. 
Starting his venture capital career in internet and consumer companies in the 1990s and early 2000s, Quigley… [+5556 chars]",Business Insider,https://www.businessinsider.com/bitcoin-investing-strategy-outlook-crypto-bull-price-target-nfts-vc-2021-3,0.0,0.0,1.0,0.0,0
2021-03-18,"The bitcoin price has soared in 2021
NurPhoto/Getty Images
Bitcoin's energy consumption is comparable to that of major corporations like American Airlines, which flies over 200 million passengers a… [+2580 chars]",Business Insider,https://www.businessinsider.com/bitcoin-uses-more-energy-than-american-airlines-bank-of-america-2021-3,0.5574,0.137,0.863,0.0,1
2021-03-18,"Square
Square's Cash App said on Wednesday its users can now send and receive bitcoin with no fees on transactions.
The payment company's move potentially points to a rise in the use and adoption o… [+1299 chars]",Business Insider,https://www.businessinsider.com/jack-dorsey-cash-app-allowing-users-send-receive-bitcoin-free-2021-3,-0.296,0.0,0.941,0.059,-1
2021-03-18,"Digital currency asset manager Grayscale Investments announced Wednesday that it is offering five new investment trusts, bringing its single-asset lineup to 13.
The new trusts are launching into fai… [+2087 chars]",Business Insider,https://www.businessinsider.com/grayscale-investments-launches-5-new-cryptocurrency-trusts-digital-investments-2021-3,0.8271,0.237,0.763,0.0,1
2021-03-19,"Jerron St. Armand was asleep at his home in New Hampshire when Elon Musk first tweeted about Etsy.
""I kinda love Etsy,"" Musk wrote at 6:25 a.m. ET on January 26. ""Bought a hand knit wool Marvin the … [+12013 chars]",Business Insider,https://www.businessinsider.com/elon-musk-tweets-created-new-economy-2021-3,0.7968,0.161,0.839,0.0,1
2021-03-19,"Interest in crypto-based digital assets is primarily focused in the West Coast, while middle America seems to have been left out of the conversation, according to data from bitreporter.com, a site de… [+2474 chars]",Business Insider,https://www.businessinsider.com/nft-interest-driven-by-west-coast-middle-america-least-interested-2021-3,0.743,0.196,0.804,0.0,1
2021-03-19,"Personal Finance Insider writes about products, strategies, and tips to help you make smart decisions with your money. We may receive a small commission from our partners, like American Express, but … [+7512 chars]",Business Insider,https://www.businessinsider.com/personal-finance/how-to-invest-your-stimulus-check-2021-3,0.5346,0.158,0.842,0.0,1
2021-03-19,"An engineer at Elon Musk's SpaceX has pleaded guilty to charges of insider trading on the dark web, the US Department of Justice (DOJ) said on Thursday.
James Roland Jones, from Hermosa Beach in Cal… [+1729 chars]",Business Insider,https://www.businessinsider.com/spacex-engineer-pleads-guilty-doj-trading-charges-dark-web-bitcoin-2021-3,-0.128,0.08,0.804,0.116,-1
2021-03-20,"Marketing is one of the most expensive things that traditional automakers do. In 2019, General Motors alone spent about $3 billion to tell customers about its vehicles, a level of expenditure that ha… [+6716 chars]",Business Insider,https://www.businessinsider.com/technoking-musk-new-tesla-title-proves-no-need-spend-marketing-2021-3,-0.25,0.0,0.943,0.057,-1
2021-03-20,"Like many investors in the traditional finance world, Ari Paul was dismissive when a smart friend emailed him in 2011 saying ""bitcoin is interesting, take a look.""
""I responded definitively, bitcoin… [+6011 chars]",Business Insider,https://www.businessinsider.com/bitcoin-investing-crypto-hedge-fund-cio-explains-rally-defi-nfts-2021-3,0.8779,0.291,0.709,0.0,1
2021-03-20,"The enthusiasts, some 2,200 of them, flocked to a room on Clubhouse to talk about their new favorite topic. 
The group an eclectic mix of participants including visual artists, web developers, forme… [+13801 chars]",Business Insider,https://www.businessinsider.com/risks-investing-art-crypto-elon-musk-opensea-beeple-digital-art-2021-3,0.6597,0.148,0.852,0.0,1
2021-03-20,"Hello readers,
Happy Saturday, and welcome to Insider Finance. Here's a rundown of the must-know stories from the past week:
<ul><li>The WFH life plus insane deal flow is taking a toll on young Wal… [+2809 chars]",Business Insider,https://www.businessinsider.com/top-finance-news-spac-goldman-analysts-epstein-house-buyer-blackstone-2021-3,0.6124,0.166,0.767,0.067,1
2021-03-21,"Hello and welcome to Insider Investing. I'm Joe Ciolli, and I'm here to guide you through what's been happening in markets, as well as what to expect in the coming weeks. Here's what's on the docket:… [+2467 chars]",Business Insider,https://www.businessinsider.com/sports-card-investing-bitcoin-strategy-finding-compounder-stocks-insider-investing-2021-3,0.6249,0.124,0.876,0.0,1
2021-03-22,"After selling a crypto art piece for nearly $70 million, digital artist Mike Winkelmann also known as Beeple said the crypto art market is likely in a bubble.
""[Investing in crypto art] is for peopl… [+3359 chars]",Business Insider,https://www.businessinsider.com/beeple-some-nft-investments-will-hit-zero-crypto-art-bubble-2021-3,0.0,0.0,1.0,0.0,0
2021-03-22,Billionaire investor Chamath Palihapitiya said he loves SPACs because they level the playing field between ordinary folks and big Wall Street investors. The latter group is now pouncing on his three … [+7031 chars],Business Insider,https://www.businessinsider.com/chamath-palihapitiya-spacs-hedge-funds-short-bets-data-details-explained-2021-3,0.6705,0.151,0.849,0.0,1
2021-03-22,"MicroStrategy/YouTube/Mario Tama/Getty Images
Elon Musk's Twitter dialogue with MicroStrategy's CEO influenced Tesla's decision to invest $1.5 billion into bitcoin, Michael Saylor said in a recent i… [+2393 chars]",Business Insider,https://www.businessinsider.com/elon-musk-twitter-exchange-michael-saylor-prompted-tesla-buy-bitcoin-2021-3,0.0,0.0,1.0,0.0,0
2021-03-23,"Gemini, the digital currency exchange founded by the Winklevoss twins, announced on Monday that it added seven new digital tokens that support decentralized finance, gaming, NFTs, and the decentraliz… [+1451 chars]",Business Insider,https://www.businessinsider.com/winklevoss-twins-gemini-crypto-exchange-adds-7-new-tokens-platform-2021-3,0.4019,0.083,0.917,0.0,1
2021-03-23,"Anthony Scaramucci's SkyBridge Capital has teamed up with investment firm First Trust Advisors to apply for regulatory approval for a bitcoin exchange-traded fund.
According to the March 19 filing, … [+1637 chars]",Business Insider,https://www.businessinsider.com/scaramucci-bitcoin-skybridge-capital-launch-etf-sec-filing-2021-3,0.7506,0.186,0.814,0.0,1
2021-03-24,"FG Trade/Getty Images
<ul><li>The latest wave of stimulus checks has driven an expected uptick in retail-investing activity, but it's occurring with less breadth than the previous cycle in December … [+1618 chars]",Business Insider,https://www.businessinsider.com/market-impact-new-stimulus-checks-driving-less-retail-investing-jpmorgan-2021-3,0.0,0.0,1.0,0.0,0
2021-03-24,"In the past three months, there has been a 300% increase in advertisements on the dark web for coronavirus vaccines, fake vaccination certificates, and fake negative COVID-19 test results, according … [+3519 chars]",Business Insider,https://www.businessinsider.com/fake-covid-19-vaccines-for-sale-dark-net-ads-research-2021-3,-0.8225,0.059,0.689,0.253,-1
2021-03-24,"Mark Cuban.
Brian Snyder/Reuters
Billionaire entrepreneur Mark Cuban is developing an online art platform that allows its users to present digital art or collectibles, according to The Block.
The … [+1449 chars]",Business Insider,https://www.businessinsider.com/billionaire-mark-cuban-setting-up-digital-art-gallery-for-nfts-2021-3,-0.4404,0.0,0.912,0.088,-1
2021-03-25,"Tesla is now accepting bitcoin as a form of payment for its vehicles, making it one of the first companies to accept the cryptocurrency as a form of payment for its products.
The move came two month… [+2007 chars]",Business Insider,https://www.businessinsider.com/2-reasons-buying-tesla-with-bitcoin-bad-idea-2021-3,0.6369,0.129,0.871,0.0,1
2021-03-25,"US stocks gained on Thursday after weekly jobless claims hit their lowest levels since the COVID-19 pandemic began last year.
Jobless claims of 684,000 beat economist expectations of 730,00 and cont… [+1752 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-today-upbeat-jobless-claims-boost-optimism-2021-3,0.0,0.072,0.856,0.072,0
2021-03-25,"The recent rise of bitcoin and cryptocurrency investing is often associated with millennials and generation Z.
That's a misconception, according to Stephen Kelso, who is head of markets at London-ba… [+5581 chars]",Business Insider,https://www.businessinsider.com/crypto-investing-strategy-bitcoin-digital-gold-emerging-markets-outlook-em-2021-3,0.0,0.0,1.0,0.0,0
2021-03-25,"Electric car buyers can now purchase a Tesla using bitcoin. However, despite Tesla CEO Elon Musk's enthusiasm for the cryptocurrency, the transaction isn't as simple as it may seem. 
Tesla lays out … [+2143 chars]",Business Insider,https://www.businessinsider.com/how-to-buy-tesla-with-bitcoin-2021-3,0.4404,0.083,0.917,0.0,1
2021-03-25,"Central banks will soon need to issue digital currencies as the use of cash slowly becomes irrelevant, according to UBS chief economist Paul Donovan.
""Central bank digital currencies are likely to s… [+2044 chars]",Business Insider,https://www.businessinsider.com/digital-currencies-central-banks-start-issuing-cash-ubs-chief-economist-2021-3,0.0,0.0,1.0,0.0,0
2021-03-25,"Bitcoin mining.
Alessandro Bianchi/Reuters
Cryptocurrency mining stocks had a tough day on Wednesday as bitcoin tested its key $50,000 support level.
Shares of Riot Blockchain, Marathon Digital Ho… [+2460 chars]",Business Insider,https://www.businessinsider.com/bitcoin-mining-stock-prices-sink-cryptocurrency-tests-key-support-level-2021-3,-0.0516,0.14,0.714,0.146,-1
2021-03-26,"Cathie Wood's Ark Invest has had a rough few weeks. 
Her flagship strategy the $22.1 billion Ark Innovation ETF (ARKK)   had fallen 7.8% year-to-date as of Wednesday, trailing 99% of its category pe… [+5589 chars]",Business Insider,https://www.businessinsider.com/ark-ceo-cathie-wood-chinese-companies-innovations-on-her-radar-2021-3,0.128,0.107,0.827,0.067,1
2021-03-26,"Tesla CEO Elon Musk deleted a tweet on Friday that implied Tesla would become a bigger company than Apple, the world's largest company, ""within a few months"" 
The conversation on Twitter about Tesla… [+2850 chars]",Business Insider,https://www.businessinsider.com/elon-musk-twitter-deleted-tweet-implying-company-bigger-than-apple-2021-3,0.0,0.0,1.0,0.0,0
2021-03-26,"Superchief Gallery opened what it calls the ""world's first physical NFT gallery"" in New York City on Thursday.
Over the last several months, the NFT craze has dominated headlines and everyday conver… [+4356 chars]",Business Insider,https://www.businessinsider.com/new-york-gallery-display-nft-art-crypto-art-2021-3,-0.1531,0.0,0.954,0.046,-1
